tweet_id,favorite_count,retweet_count,source,retweeted_status,url
695794761660297217,3291,817,Twitter for iPhone,Tweet,https://t.co/PccQ1CFEDd
695767669421768709,1940,788,Twitter for iPhone,Tweet,https://t.co/U0D1sbIDrG
695629776980148225,4723,2206,Twitter for iPhone,Tweet,https://t.co/NIvxgSQ9BS
695446424020918272,4541,1900,Twitter for iPhone,Tweet,https://t.co/f9qlKiv39T
695409464418041856,8959,3753,Twitter for iPhone,Tweet,https://t.co/lORINwFXIV
695314793360662529,3765,1536,Twitter for iPhone,Tweet,https://t.co/ioFy0cmK03
695095422348574720,2738,647,Twitter for iPhone,Tweet,https://t.co/2L8pI0Z2Ib
695074328191332352,2950,1165,Twitter for iPhone,Tweet,https://t.co/dH3GzcjCtQ
695064344191721472,1658,631,Twitter for iPhone,Tweet,https://t.co/uaJmNgXR2P
695051054296211456,2755,828,Twitter for iPhone,Tweet,https://t.co/vityMwPKKi
694925794720792577,2788,960,Vine - Make a Scene,Tweet,https://t.co/Vn6w5w8TO2
694905863685980160,2853,975,Twitter for iPhone,Tweet,https://t.co/CJJpjTMzPQ
694669722378485760,36995,15173,Twitter for iPhone,Tweet,https://t.co/9mb0P2rjk2
694356675654983680,1563,299,Twitter for iPhone,Tweet,https://t.co/SQsEBWxPyG
694352839993344000,2116,652,Twitter for iPhone,Tweet,https://t.co/6NgsQJuSBJ
694342028726001664,1631,505,Vine - Make a Scene,Tweet,https://t.co/oCImpQuoRb
694329668942569472,2076,523,Twitter for iPhone,Tweet,https://t.co/oToIkYnEGn
694206574471057408,4322,2134,Twitter for iPhone,Tweet,https://t.co/Sd4qAdSRqI
694183373896572928,3055,976,Twitter for iPhone,Tweet,https://t.co/pVebzwRioD
694001791655137281,3519,1081,Twitter for iPhone,Tweet,https://t.co/YoII7tWXMT
693993230313091072,1937,424,Vine - Make a Scene,Tweet,https://t.co/gzRghPC61H
693942351086120961,1798,385,Twitter for iPhone,Tweet,https://t.co/LCA6Fr3X2M
693647888581312512,2792,622,Twitter for iPhone,Tweet,https://t.co/LSTAwTdTaw
693644216740769793,1391,131,Twitter for iPhone,Tweet,f
693642232151285760,2629,430,Twitter for iPhone,Tweet,https://t.co/6BS9XEip9a
693629975228977152,2542,835,Twitter for iPhone,Tweet,https://t.co/Tn9Mp0oPoJ
693622659251335168,1602,386,Twitter for iPhone,Tweet,https://t.co/a1IrjaID3X
693590843962331137,5230,2071,Twitter for iPhone,Tweet,https://t.co/fShNNhBWYx
693582294167244802,1704,266,Twitter for iPhone,Tweet,I
693486665285931008,1846,666,Twitter for iPhone,Tweet,https://t.co/S6cQsIoX27
693280720173801472,3489,1296,Twitter for iPhone,Tweet,https://t.co/UzbhwXcLne
693267061318012928,2472,855,Vine - Make a Scene,Tweet,https://t.co/waN6EW0wfM
693262851218264065,2313,524,Twitter for iPhone,Tweet,https://t.co/DYUsHtL2aR
693231807727280129,2975,769,Twitter for iPhone,Tweet,https://t.co/bpZsGMqVVP
693155686491000832,8151,3371,Twitter for iPhone,Tweet,https://t.co/At8Kxc5H9U
693109034023534592,1783,644,Twitter for iPhone,Tweet,https://t.co/NY3cPAZAIM
693095443459342336,1938,486,Twitter for iPhone,Tweet,https://t.co/OhodPIDOpW
692919143163629568,2757,787,Twitter for iPhone,Tweet,https://t.co/TMpDHHGspy
692905862751522816,2528,918,Twitter for iPhone,Tweet,https://t.co/EiF659Bgjn
692901601640583168,1847,628,Twitter for iPhone,Tweet,https://t.co/N0OADmCnVV
692894228850999298,2361,849,Twitter for iPhone,Tweet,https://t.co/mCqgtqLDCW
692828166163931137,2988,921,Twitter for iPhone,Tweet,https://t.co/X6X9wM7NuS
692752401762250755,7061,3813,Twitter for iPhone,Tweet,https://t.co/kYWcXbluUu
692568918515392513,4505,1615,Twitter for iPhone,Tweet,https://t.co/CFMjsn3P6B
692535307825213440,3301,1430,Twitter for iPhone,Tweet,https://t.co/Dt360V2MYI
692530551048294401,1913,435,Twitter for iPhone,Tweet,https://t.co/Iv3flDTpXu
692423280028966913,1531,240,Twitter for iPhone,Tweet,0
692417313023332352,9665,3654,Twitter for iPhone,Tweet,https://t.co/VGaIMktX10
692187005137076224,2617,858,Twitter for iPhone,Tweet,https://t.co/krvbacIX0N
692158366030913536,2224,829,Twitter for iPhone,Tweet,https://t.co/1NgMb9BTWB
692142790915014657,1702,414,Twitter for iPhone,Tweet,https://t.co/tDkJAnQsbQ
692041934689402880,3514,1338,Vine - Make a Scene,Tweet,https://t.co/sRUpRpGZ3y
692017291282812928,2967,1001,Twitter for iPhone,Tweet,https://t.co/BE4ahQ0IO2
691820333922455552,4087,1748,Twitter for iPhone,Tweet,https://t.co/fn1oUlS69Z
691793053716221953,8402,4422,Vine - Make a Scene,Tweet,https://t.co/qnMJHBxPuo
691756958957883396,2982,1066,Twitter for iPhone,Tweet,https://t.co/frGWV7IP6J
691675652215414786,2016,530,Twitter for iPhone,Tweet,https://t.co/KMdwNgONkV
691483041324204033,2467,589,Twitter for iPhone,Tweet,https://t.co/aenk0KpoWM
691459709405118465,4198,1212,Twitter for iPhone,Tweet,https://t.co/LZEi0DpRsH
691444869282295808,2742,888,Twitter for iPhone,Tweet,https://t.co/YBENhr24FV
691416866452082688,19984,8038,Twitter for iPhone,Tweet,https://t.co/fR1P3g5I6k
691321916024623104,2666,692,Twitter for iPhone,Tweet,https://t.co/g4fiS8A9Ab
691096613310316544,3064,926,Twitter for iPhone,Tweet,https://t.co/fUacc13OrW
691090071332753408,1770,353,Twitter for iPhone,Tweet,https://t.co/MM7tb4HpEY
690989312272396288,6106,3007,Vine - Make a Scene,Tweet,https://t.co/pmarb2dG0e
690959652130045952,3711,1319,Twitter for iPhone,Tweet,https://t.co/DgXYBDMM3E
690938899477221376,4266,2094,Twitter for iPhone,Tweet,https://t.co/HSL3mnP5NX
690932576555528194,3397,1079,Twitter for iPhone,Tweet,https://t.co/FQZGSQIQLS
690735892932222976,3920,1337,Twitter for iPhone,Tweet,https://t.co/YrhkrTsoTt
690728923253055490,2253,540,Twitter for iPhone,Tweet,https://t.co/qOD4G19A2u
690690673629138944,2410,844,Twitter for iPhone,Tweet,https://t.co/yS7T4gxKod
690649993829576704,1360,293,Twitter for iPhone,Tweet,https://t.co/CneG2ZbxHP
690607260360429569,306,17,Twitter for iPhone,Tweet,t
690597161306841088,2038,636,Twitter for iPhone,Tweet,https://t.co/Nwi3SYe8KA
690400367696297985,1944,473,Twitter for iPhone,Tweet,https://t.co/PlEXTofdpf
690374419777196032,3383,901,Twitter for iPhone,Tweet,https://t.co/VpfFCKE28C
690360449368465409,2746,937,Twitter for iPhone,Tweet,https://t.co/B9ZXXKJYNx
690348396616552449,1565,541,Vine - Make a Scene,Tweet,https://t.co/JjxriLqZOL
690248561355657216,1740,434,Twitter for iPhone,Tweet,https://t.co/IF5kKaO945
690021994562220032,2889,1089,Twitter for iPhone,Tweet,https://t.co/TmlwQWnmRC
690015576308211712,2599,777,Twitter for iPhone,Tweet,https://t.co/03XlvS8izg
690005060500217858,3794,1778,Twitter for iPhone,Tweet,https://t.co/V8HcVIh4jt
689999384604450816,1480,394,Twitter for iPhone,Tweet,https://t.co/fgMaP2zDMt
689993469801164801,1512,476,Vine - Make a Scene,Tweet,https://t.co/K4s9IJh2jm
689977555533848577,1422,469,Twitter for iPhone,Tweet,https://t.co/MXedEzSHIf
689905486972461056,2508,728,Twitter for iPhone,Tweet,https://t.co/IE4ZblyZRY
689877686181715968,3132,1241,Twitter for iPhone,Tweet,https://t.co/5iH08ltkoe
689835978131935233,2246,789,Twitter for iPhone,Tweet,https://t.co/MuqHPvtL8c
689661964914655233,3312,976,Twitter for iPhone,Tweet,https://t.co/VcxZQPNZaV
689659372465688576,10726,4073,Twitter for iPhone,Tweet,https://t.co/XtDkrsdEfF
689623661272240129,2303,676,Twitter for iPhone,Tweet,https://t.co/QnvSjjyh7n
689599056876867584,12044,5813,Twitter for iPhone,Tweet,https://t.co/TRAri5iHzd
689557536375177216,2122,481,Twitter for iPhone,Tweet,https://t.co/WFh2FEbYzj
689517482558820352,3527,1510,Twitter for iPhone,Tweet,https://t.co/Wk3XCnmDvm
689289219123089408,2334,990,Twitter for iPhone,Tweet,https://t.co/Rxrd4hPmp4
689283819090870273,3409,1157,Twitter for iPhone,Tweet,https://t.co/V62rIva61J
689280876073582592,2066,752,Twitter for iPhone,Tweet,https://t.co/JR7hLnlgeS
689275259254616065,1196,258,Twitter for iPhone,Tweet,https://t.co/K55XrIoePl
689255633275777024,2648,1136,Vine - Make a Scene,Tweet,https://t.co/gOH51Y8Yh1
689154315265683456,3176,1052,Twitter for iPhone,Tweet,https://t.co/o47yitCn9N
689143371370250240,2092,537,Twitter for iPhone,Tweet,https://t.co/40w7TI5Axv
688916208532455424,2832,916,Twitter for iPhone,Tweet,https://t.co/A8X8fwS78x
688908934925697024,2188,816,Twitter for iPhone,Tweet,https://t.co/WpSFZm7RPH
688898160958271489,2180,830,Twitter for iPhone,Tweet,https://t.co/MfEaMUFYTx
688894073864884227,2318,733,Twitter for iPhone,Tweet,https://t.co/ROPZcAMQKI
688828561667567616,1429,392,Twitter for iPhone,Tweet,https://t.co/dfCCK3tWfr
688804835492233216,1002,203,Twitter for iPhone,Tweet,https://t.co/PMeq6IedU7
688789766343622656,2300,695,Twitter for iPhone,Tweet,https://t.co/2TWxg0rgyG
688547210804498433,2709,737,Twitter for iPhone,Tweet,https://t.co/7ycWCUrjmZ
688519176466644993,2402,772,Twitter for iPhone,Tweet,https://t.co/glmvQBRjv4
688385280030670848,9614,4693,Twitter for iPhone,Tweet,https://t.co/vz2DukO0th
688211956440801280,2314,874,Twitter for iPhone,Tweet,https://t.co/o4Nfc8WoAO
688179443353796608,2200,618,Twitter for iPhone,Tweet,https://t.co/mFhvtX36om
688116655151435777,2937,821,Twitter for iPhone,Tweet,https://t.co/YdLytdZOqv
688064179421470721,1796,379,Twitter for iPhone,Tweet,https://t.co/GS76SfkraY
687841446767013888,5656,2660,Vine - Make a Scene,Tweet,https://t.co/nZhhMRr5Hp
687826841265172480,2824,1186,Twitter for iPhone,Tweet,https://t.co/17RGvOZO9P
687818504314159109,2585,1002,Twitter for iPhone,Tweet,https://t.co/hK6xB042EP
687807801670897665,2486,742,Twitter for iPhone,Tweet,https://t.co/c98k1IoZKy
687732144991551489,1826,695,Vine - Make a Scene,Tweet,https://t.co/kGRcRjRJRl
687704180304273409,2535,883,Twitter for iPhone,Tweet,https://t.co/UwOV1jqKRt
687664829264453632,2006,535,Twitter for iPhone,Tweet,https://t.co/IAt3jRZ5ez
687494652870668288,1972,602,Twitter for iPhone,Tweet,https://t.co/MHScqo5l8c
687480748861947905,1658,253,Twitter for iPhone,Tweet,https://t.co/X5w387K5jr
687476254459715584,2052,559,Twitter for iPhone,Tweet,https://t.co/1DzInODwrj
687460506001633280,2129,569,Twitter for iPhone,Tweet,https://t.co/jIcVW0xxmH
687399393394311168,1963,657,Vine - Make a Scene,Tweet,https://t.co/nTAsyvbIiO
687317306314240000,20829,9615,Twitter for iPhone,Tweet,https://t.co/pRp1Npucbz
687312378585812992,4521,1998,Twitter for iPhone,Tweet,https://t.co/yzGR9xjE9Q
687127927494963200,5649,2411,Twitter for iPhone,Tweet,https://t.co/a34N7QwKbb
687124485711986689,2248,525,Twitter for iPhone,Tweet,https://t.co/03vR9dn7jy
687109925361856513,6019,2598,Twitter for iPhone,Tweet,https://t.co/LHcH1yhhIb
687102708889812993,2424,1038,Twitter for iPhone,Tweet,https://t.co/A88x73TwMN
687096057537363968,2326,634,Twitter for iPhone,Tweet,https://t.co/D7jYj6vdwC
686947101016735744,8917,3346,Twitter for iPhone,Tweet,https://t.co/lJs10ZJsgj
686760001961103360,3650,1451,Vine - Make a Scene,Tweet,https://t.co/KFTrkSOuu3
686749460672679938,3596,1535,Twitter for iPhone,Tweet,https://t.co/nSQrhwbk1V
686730991906516992,4300,1265,Twitter for iPhone,Tweet,https://t.co/Kc84eFNhYU
686683045143953408,2914,847,Twitter for iPhone,Tweet,https://t.co/pgD6h0yhgz
686618349602762752,3824,1437,Twitter for iPhone,Tweet,https://t.co/yJVTi1DjJc
686606069955735556,1968,573,Twitter for iPhone,Tweet,https://t.co/tB9xYjMyZd
686394059078897668,1800,712,Vine - Make a Scene,Tweet,https://t.co/CufnbUT0pB
686386521809772549,3372,924,Twitter for iPhone,Tweet,https://t.co/J5aI7SjzDc
686377065986265092,2288,593,Twitter for iPhone,Tweet,https://t.co/oDkspjNWYX
686358356425093120,2272,716,Twitter for iPhone,Tweet,https://t.co/95JJevQOWW
686286779679375361,4139,1750,Vine - Make a Scene,Tweet,https://t.co/xolcXA6gxe
686050296934563840,2283,762,Twitter for iPhone,Tweet,https://t.co/BUyX7isHRg
686035780142297088,1201,127,Twitter for iPhone,Tweet,g
686034024800862208,3219,1217,Twitter for iPhone,Tweet,https://t.co/oSvRDuMm1D
686007916130873345,2569,444,Twitter for iPhone,Tweet,https://t.co/heAGpKTpPW
686003207160610816,1892,674,Twitter for iPhone,Tweet,https://t.co/NOIiRWr5Jf
685973236358713344,2185,548,Twitter for iPhone,Tweet,https://t.co/xbUoULOIS8
685943807276412928,1685,630,Twitter for iPhone,Tweet,https://t.co/wbAcvFoNtn
685906723014619143,7774,3073,Twitter for iPhone,Tweet,https://t.co/NnLjg6BgyF
685681090388975616,2101,132,Twitter for iPhone,Tweet,️
685667379192414208,2425,602,Twitter for iPhone,Tweet,https://t.co/u427woxFpJ
685663452032069632,3376,1536,Twitter for iPhone,Tweet,https://t.co/AcVWe39nmM
685641971164143616,3038,824,Twitter for iPhone,Tweet,https://t.co/jJS8qQeuNO
685547936038666240,34111,16538,Twitter for iPhone,Tweet,https://t.co/3m6bNGXWnM
685532292383666176,3148,1216,Twitter for iPhone,Tweet,https://t.co/GboDG8WhJG
685325112850124800,9818,4192,Twitter for iPhone,Tweet,https://t.co/VGPH0TfESw
685321586178670592,2740,675,Twitter for iPhone,Tweet,https://t.co/MbgG95mUdu
